energy             :real:0:
 -6.8955770788086158E-03
gradient           :real:2:3,37
 -7.1741200979342375E-06 -4.4227111920552036E-06  3.8529616822929258E-05
 -1.4206823537455846E-05  4.3715500126435488E-05  1.6039494658681126E-05
 -3.2610897809708354E-05  2.8981357787884297E-05 -1.0592687528485813E-05
  5.3023247841433376E-06 -3.7887107567965154E-06 -5.9859892811412575E-06
  5.0767952647695623E-05  1.9749841077832411E-05 -9.7951355770686709E-06
  8.8616317848183584E-06 -5.2136251256126077E-05  8.2745259443442056E-06
  3.2182138507904559E-05 -3.7374670030299247E-05  3.2239600283226895E-05
  1.8563724911001816E-05  5.1922238148783861E-06  5.4453468844357850E-05
 -2.1773188234508872E-05  1.7397878865854783E-05  4.7544533232792181E-05
  7.5595082086221986E-06  3.4828435837370330E-05  4.6017080733352922E-05
  1.7819323902829557E-07  5.4679737038036810E-06  7.8064573962850551E-06
  1.2807435776499329E-06 -6.9990666510549588E-06 -3.5115549708234802E-05
 -4.1842185226126587E-06  2.4502657924736240E-05 -4.7190675977062087E-05
 -1.1481504353727341E-05  1.5953062355216806E-05 -6.1759004494629986E-05
 -1.3349132572830581E-05 -1.3792648680635759E-05 -6.0538924075485709E-05
 -2.3348260719740454E-06 -2.1990436958861111E-06 -9.6824233855689540E-06
 -9.2352493406975172E-06 -4.1250072403747182E-05 -5.0513563400229501E-05
  5.5197503351056428E-07 -4.2535241828629176E-05 -3.1233861106550232E-05
 -6.5575461450531982E-06  3.9731940060144614E-06  5.3173410738691813E-06
 -1.0090646419415891E-06 -5.6875569176536202E-08  1.9216454236277548E-06
 -6.6600864462855172E-06  4.9900853457131725E-06  4.4922607894452303E-06
 -1.7704879437676603E-06  1.0890140788181066E-05  2.3673236574637272E-07
  1.0967164757746678E-05  7.9866951060159161E-07 -3.1852674119179252E-06
  8.0936346084867401E-07 -7.0612901536410106E-06  8.7537249960234401E-06
  7.9883997598490524E-06 -8.5751041625872640E-06  7.1021978155292581E-06
  2.0806605054541482E-06 -4.5334546818933573E-06  2.9005240728193050E-06
  1.8406170753801776E-06 -1.0315000509784809E-05  8.4655480002755129E-06
 -3.0034348847828014E-06  1.8358116531170704E-06  1.3359518917698672E-05
 -4.7244179333338451E-06  3.0044127307218658E-06  1.5681845658445716E-05
  3.3021747163085149E-09  5.3364384668021256E-06  1.9705942430772312E-05
 -8.5803848434352473E-07  5.9314839385044122E-06  1.3450840753223011E-05
 -2.9760953308866436E-06  8.7404303070284799E-06  1.4775954885730296E-05
 -8.1060327607346554E-07  7.1337518950985107E-06  1.6075330609290014E-05
  1.5084540377276524E-06  6.4277565475629378E-06 -1.6841886777108714E-05
 -2.5930609653426015E-06  3.6028492261304728E-06 -1.4518286321267030E-05
 -2.4803697300294493E-06 -9.4280521767759717E-06 -1.1742432959958135E-05
 -6.5298814280762888E-07 -1.3985762160399450E-05 -1.4448497703756713E-05
virial             :real:2:3,3
  4.4012711896848010E-04 -1.6227993097818491E-04  2.3718348475782914E-04
 -1.6227993097818493E-04  1.4263808776096088E-03  1.1371433844757028E-03
  2.3718348475782914E-04  1.1371433844757032E-03  4.8591175267416681E-03
